"","year","month","num","ym"
"1",2017,11,0,"2017-11"
"2",2017,12,0,"2017-12"
"3",2018,1,0,"2018-1"
"4",2018,10,22,"2018-10"
"5",2018,11,24,"2018-11"
"6",2018,12,2,"2018-12"
"7",2018,2,0,"2018-2"
"8",2018,3,5,"2018-3"
"9",2018,4,59,"2018-4"
"10",2018,5,14,"2018-5"
"11",2018,9,8,"2018-9"
"12",2019,1,21,"2019-1"
"13",2019,10,1,"2019-10"
"14",2019,11,58,"2019-11"
"15",2019,12,37,"2019-12"
"16",2019,2,41,"2019-2"
"17",2019,3,42,"2019-3"
"18",2019,4,194,"2019-4"
"19",2019,5,69,"2019-5"
"20",2019,6,20,"2019-6"
"21",2020,1,45,"2020-1"
"22",2020,11,32,"2020-11"
"23",2020,2,114,"2020-2"
"24",2020,3,351,"2020-3"
"25",2020,4,0,"2020-4"
"26",2020,5,103,"2020-5"
