species,country
Scirpophaga excerptalis,India
Scirpophaga excerptalis,Pakistan
Scirpophaga excerptalis,Bangladesh
Scirpophaga excerptalis,Nepal
Scirpophaga excerptalis,Bhutan
Scirpophaga excerptalis,Myanmar
Scirpophaga excerptalis,Thailand
Scirpophaga excerptalis,Laos
Scirpophaga excerptalis,China
Scirpophaga excerptalis,Taiwan
Scirpophaga excerptalis,Japan
Scirpophaga excerptalis,Thailand
Scirpophaga excerptalis,Cambodia
Scirpophaga excerptalis,Vietnam
Scirpophaga excerptalis,Malaysia
Scirpophaga excerptalis,Singapore
Scirpophaga excerptalis,Indonesia
Scirpophaga excerptalis,East Timor
Scirpophaga excerptalis,Papua New Guinea
Scirpophaga excerptalis,Solomon Islands
Scirpophaga excerptalis,Micronesia
Scirpophaga excerptalis,New Caledonia
Sesamia grisescens,Indonesia
Sesamia grisescens,Papua New Guinea
Chilo infuscatellus,India
Chilo infuscatellus,Pakistan
Chilo infuscatellus,Afghanistan
Chilo infuscatellus,Tajikistan
Chilo infuscatellus,Uzbekistan
Chilo infuscatellus,Bangladesh
Chilo infuscatellus,Nepal
Chilo infuscatellus,Bhutan
Chilo infuscatellus,Myanmar
Chilo infuscatellus,Thailand
Chilo infuscatellus,Laos
Chilo infuscatellus,China
Chilo infuscatellus,Taiwan
Chilo infuscatellus,South Korea
Chilo infuscatellus,North Korea
Chilo infuscatellus,Thailand
Chilo infuscatellus,Cambodia
Chilo infuscatellus,Vietnam
Chilo infuscatellus,Malaysia
Chilo infuscatellus,Singapore
Chilo infuscatellus,Indonesia
Chilo infuscatellus,East Timor
Chilo infuscatellus,Papua New Guinea
Chilo infuscatellus,Philippines
Chilo infuscatellus,Brunei
Eumetopina flavipes,Malaysia
Eumetopina flavipes,Brunei
Eumetopina flavipes,Indonesia
Eumetopina flavipes,Philippines
Eumetopina flavipes,Australia
Eumetopina flavipes,Papua New Guinea
Eumetopina flavipes,Indonesia
Eumetopina flavipes,Solomon Islands
Eumetopina flavipes,New Caledonia
Yamatotettix flavovittatus,China
Yamatotettix flavovittatus,Indonesia
Yamatotettix flavovittatus,Japan
Yamatotettix flavovittatus,South Korea
Yamatotettix flavovittatus,North Korea
Yamatotettix flavovittatus,Laos
Yamatotettix flavovittatus,Malaysia
Yamatotettix flavovittatus,Myanmar
Yamatotettix flavovittatus,Papua New Guinea
Yamatotettix flavovittatus,Taiwan
Yamatotettix flavovittatus,Thailand
Yamatotettix flavovittatus,Brunei
Perkinsiella saccharicida,Australia
Perkinsiella saccharicida,Malaysia
Perkinsiella saccharicida,Indonesia
Perkinsiella saccharicida,Brunei
Perkinsiella saccharicida,Philippines
Perkinsiella saccharicida,Papua New Guinea
Perkinsiella saccharicida,India
Perkinsiella saccharicida,Sri Lanka
Perkinsiella saccharicida,Taiwan
Perkinsiella saccharicida,China
Perkinsiella saccharicida,United States
Perkinsiella saccharicida,Mexico
Perkinsiella saccharicida,Costa Rica
Perkinsiella saccharicida,Ecaudor
Perkinsiella saccharicida,Réunion
